URL,Track Name,Country,City,Date,Length (Km),Race Type,Position,Car Number,Driver Name,Team Name,Laps,Time,Gap,Interval,KPH,Best Lap Time
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,1.0,1,C. Leclerc,PREMA Racing,23.0,43:01.023,0,0,173.275,1:44.074
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,2.0,5,L. Ghiotto,RUSSIAN TIME,23.0,43:02.592,1.569,0,173.17,1:47.043
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,3.0,9,O. Rowland,DAMS,23.0,43:03.921,2.898,1.329,173.081,1:47.175
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,4.0,10,N. Latifi,DAMS,23.0,43:08.598,7.575,4.677,172.768,1:47.760
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,5.0,15,J. King,MP Motorsport,23.0,43:10.985,9.962,2.387,172.609,1:46.998
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,6.0,18,N. de Vries,Rapax,23.0,43:11.888,10.865,0.903,172.549,1:47.632
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,7.0,8,A. Albon,ART Grand Prix,23.0,43:12.405,11.382,0.517,172.514,1:47.821
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,8.0,6,A. Markelov,RUSSIAN TIME,23.0,43:19.976,18.953,7.571,172.012,1:45.891
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,9.0,19,J. Cecotto,Rapax,23.0,43:20.173,19.150,0.197,171.999,1:47.868
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,10.0,2,A. Fuoco,PREMA Racing,23.0,43:21.006,19.983,0.833,171.944,1:46.884
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,11.0,17,S. Canamasas,Trident,23.0,43:29.852,28.829,8.846,171.361,1:48.247
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,12.0,3,L. Delétraz,Racing Engineering,23.0,43:32.210,31.187,2.358,171.206,1:48.033
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,13.0,4,G. Malja,Racing Engineering,23.0,43:34.645,33.622,2.435,171.047,1:48.684
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,14.0,7,N. Matsushita,ART Grand Prix,23.0,43:35.415,34.392,0.770,170.996,1:45.961
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,15.0,12,S. Coletti,Campos Racing,23.0,43:36.924,35.901,1.509,170.898,1:47.837
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,16.0,16,N. Jeffri,Trident,23.0,43:42.618,41.595,5.694,170.527,1:48.576
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,17.0,21,S. Gelael,Pertamina Arden,23.0,43:53.052,52.029,10.434,169.851,1:46.512
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Sprint Race Results,18.0,14,S. Sette Câmara,MP Motorsport,23.0,44:09.593,68.570,16.541,168.791,1:43.950
https://www.fiaformula2.com/Results?raceid=972,Bahrain International Circuit,Bahrain,Sakhir,2014-04-16 20:17:00,5.412,Feature Race Results,1.0,6,A. Markelov,RUSSIAN TIME,32.0,58:18.977,0,0,177.931,1:46.038
