driver_info,laps,time,gap,int.,kph,best,lap,race_id,season,session_type,lap_set_on,status,car_number,driver_name,driver_code,team_name,time_s,best_lap_s,gap_s,laps_clean,position,winner_time_s,best_race_lap_s,race_max_laps,rel_laps,time_from_winner_s,best_lap_from_best_s,avg_lap_time_s,finished,is_dnf,is_dns,is_dsq,position_clean,team_avg_pos_season,team_speed,driver_speed,driver_top10_rate,race_avg_lap_time_s,driver_vs_team,lap_vs_race_avg,session_round
127J. DaruvalaDARPrema Racing,22,40:29.021,-,-,151.592,1:34.711,7,1002,2019,ROUND1Summary,,,127,J  Daruvala,DAR,Prema Racing,2429.021,94.711,,22.0,1.0,2429.021,94.711,22.0,1.0,0.0,0.0,110.41,1,0,0,0,1.0,5.455,112.26566403528318,112.404,0.625,112.23031381118881,-1.856,-1.82,1
221J. VipsVIPHitech Grand Prix,22,40:31.142,2.121,2.121,151.460,1:34.801,21,1002,2019,ROUND1Summary,,,221,J  Vips,VIP,Hitech Grand Prix,2431.142,94.801,2.121,22.0,2.0,2429.021,94.711,22.0,1.0,2.121,0.09,110.506,1,0,0,0,2.0,10.773,112.84071430093778,113.057,0.5,112.23031381118881,-2.334,-1.724,1
319N. KariKARTrident,22,40:32.763,3.742,1.621,151.359,1:35.342,12,1002,2019,ROUND1Summary,,,319,N  Kari,KAR,Trident,2432.763,95.342,3.742,22.0,3.0,2429.021,94.711,22.0,1.0,3.742,0.631,110.58,1,0,0,0,3.0,12.579,113.57823657516536,111.73,0.375,112.23031381118881,-2.998,-1.65,1
428R. ShwartzmanSHWPrema Racing,22,40:33.287,4.266,0.524,151.327,1:34.739,21,1002,2019,ROUND1Summary,,,428,R  Shwartzman,SHW,Prema Racing,2433.287,94.739,4.266,22.0,4.0,2429.021,94.711,22.0,1.0,4.266,0.028,110.604,1,0,0,0,4.0,5.455,112.26566403528318,112.245,0.875,112.23031381118881,-1.662,-1.626,1
526M. ArmstrongARMPrema Racing,22,40:34.278,5.257,0.991,151.265,1:35.319,14,1002,2019,ROUND1Summary,,,526,M  Armstrong,ARM,Prema Racing,2434.278,95.319,5.257,22.0,5.0,2429.021,94.711,22.0,1.0,5.257,0.608,110.649,1,0,0,0,5.0,5.455,112.26566403528318,112.149,0.75,112.23031381118881,-1.617,-1.581,1
63C. LundgaardLUNART Grand Prix,22,40:34.742,5.721,0.464,151.236,1:35.164,17,1002,2019,ROUND1Summary,,,63,C  Lundgaard,LUN,ART Grand Prix,2434.742,95.164,5.721,22.0,6.0,2429.021,94.711,22.0,1.0,5.721,0.453,110.67,1,0,0,0,6.0,11.905,113.25568456134658,112.573,0.75,112.23031381118881,-2.586,-1.56,1
71D. BeckmannBECART Grand Prix,22,40:38.474,9.453,3.732,151.005,1:35.275,22,1002,2019,ROUND1Summary,,,71,D  Beckmann,BEC,ART Grand Prix,2438.474,95.275,9.453,22.0,7.0,2429.021,94.711,22.0,1.0,9.453,0.564,110.84,1,0,0,0,7.0,11.905,113.25568456134658,113.542,0.429,112.23031381118881,-2.416,-1.391,1
82M. FewtrellFEWART Grand Prix,22,40:42.935,13.914,4.461,150.729,1:35.566,14,1002,2019,ROUND1Summary,,,82,M  Fewtrell,FEW,ART Grand Prix,2442.935,95.566,13.914,22.0,8.0,2429.021,94.711,22.0,1.0,13.914,0.855,111.042,1,0,0,0,8.0,11.905,113.25568456134658,113.688,0.25,112.23031381118881,-2.213,-1.188,1
914Y. TsunodaTSUJenzer Motorsport,22,40:44.918,15.897,1.983,150.607,1:36.339,14,1002,2019,ROUND1Summary,,,914,Y  Tsunoda,TSU,Jenzer Motorsport,2444.918,96.339,15.897,22.0,9.0,2429.021,94.711,22.0,1.0,15.897,1.628,111.133,1,0,0,0,9.0,15.15,112.72754608216275,112.583,0.75,112.23031381118881,-1.595,-1.098,1
1030F. DrugovichDRUCarlin Buzz Racing,22,40:45.612,16.591,0.694,150.564,1:36.207,17,1002,2019,ROUND1Summary,,,1030,F  Drugovich,DRU,Carlin Buzz Racing,2445.612,96.207,16.591,22.0,10.0,2429.021,94.711,22.0,1.0,16.591,1.496,111.164,1,0,0,0,10.0,13.9,114.91332223624627,113.088,0.5,112.23031381118881,-3.749,-1.066,1
