series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,avg_best_lap_s,finish_std,points_std,dnf_count,dnf_rate
F3,2019,A  Deledda,DEL,Campos Racing,8,,,28.0,25,29,0,0.0,0,0.0,,,0,0.0,167.0,171.55575,107.32925,1.414213562373095,,,
F3,2019,A  Estner,EST,Jenzer Motorsport,8,,,23.0,17,26,0,0.0,0,0.0,,,0,0.0,167.0,173.449625,106.827125,3.8544964466377265,,,
F3,2019,A  Peroni,PER,Campos Racing,6,,,15.5,1,26,1,0.16666666666666666,1,0.16666666666666666,,,2,0.3333333333333333,109.0,171.646,104.23700000000001,10.5023806824929,,,
F3,2019,A  Petrov,PET,Jenzer Motorsport,1,,,30.0,30,30,0,0.0,0,0.0,,,0,0.0,0.0,,,,,,
F3,2019,B  Viscaal,VIS,HWA RACELAB,8,,,15.5,1,26,2,0.25,2,0.25,,,2,0.25,152.0,174.575125,106.753625,10.099504938362077,,,
F3,2019,C  Lundgaard,LUN,ART Grand Prix,8,,,13.0,7,22,0,0.0,0,0.0,,,4,0.5,167.0,174.688375,106.13787500000001,5.756983337031395,,,
F3,2019,D  Beckmann,BEC,ART Grand Prix,7,,,14.571428571428571,1,25,1,0.14285714285714285,1,0.14285714285714285,,,3,0.42857142857142855,128.0,171.69085714285714,105.23,8.443086774735546,,,
F3,2019,D  DeFrancesco,DEF,Trident,8,,,17.0,5,27,0,0.0,0,0.0,,,1,0.125,159.0,170.71875,106.75087500000001,6.654751256486923,,,
F3,2019,D  Schumacher,SCH,Campos Racing,1,,,25.0,25,25,0,0.0,0,0.0,,,0,0.0,20.0,175.87,117.751,,,,
F3,2019,F  Drugovich,DRU,Carlin Buzz Racing,8,,,14.125,1,20,1,0.125,1,0.125,,,1,0.125,159.0,173.88825,106.594875,6.0341291240504855,,,
F3,2019,F  Malvestiti,MAL,Jenzer Motorsport,1,,,27.0,27,27,0,0.0,0,0.0,,,0,0.0,20.0,193.109,107.841,,,,
F3,2019,F  Scherer,SCH,Sauber Junior Team by Charouz,8,,,12.0,1,28,1,0.125,3,0.375,,,4,0.5,132.0,171.624125,106.77075,10.743768958264667,,,
F3,2019,G  Carrara,CAR,Jenzer Motorsport,4,,,18.75,2,26,0,0.0,1,0.25,,,1,0.25,69.0,173.27675,96.86066666666666,11.236102527122116,,,
F3,2019,J  Daruvala,DAR,Prema Racing,8,,,9.875,3,19,0,0.0,1,0.125,,,5,0.625,166.0,174.977125,105.86625,5.462534733462636,,,
F3,2019,J  Hughes,HUG,HWA RACELAB,8,,,8.875,2,29,0,0.0,1,0.125,,,6,0.75,133.0,175.15185714285715,107.65271428571428,8.838834764831844,,,
F3,2019,J  Vips,VIP,Hitech Grand Prix,8,,,13.875,4,30,0,0.0,0,0.0,,,3,0.375,167.0,174.289875,105.843875,9.280355596635292,,,
F3,2019,K  Andres,AND,HWA RACELAB,8,,,23.125,16,30,0,0.0,0,0.0,,,0,0.0,167.0,172.566625,106.455,4.85320218294802,,,
F3,2019,L  Hon Chio,HON,Jenzer Motorsport,1,,,26.0,26,26,0,0.0,0,0.0,,,0,0.0,20.0,175.071,118.135,,,,
F3,2019,L  Lawson,LAW,MP Motorsport,8,,,12.375,3,28,0,0.0,1,0.125,,,3,0.375,166.0,173.817375,106.37774999999999,7.998883850709601,,,
F3,2019,L  Pulcini,PUL,Hitech Grand Prix,8,,,13.0,4,23,0,0.0,0,0.0,,,4,0.5,167.0,174.8695,106.039875,7.445036697597362,,,
F3,2019,L  Sargeant,SAR,Carlin Buzz Racing,8,,,15.0,7,30,0,0.0,0,0.0,,,2,0.25,161.0,170.62275,106.48725,6.928203230275509,,,
F3,2019,L  Zendeli,ZEN,Sauber Junior Team by Charouz,8,,,17.375,9,29,0,0.0,0,0.0,,,1,0.125,145.0,172.79271428571428,105.00099999999999,6.738747234146291,,,
F3,2019,M  Armstrong,ARM,Prema Racing,8,,,10.625,3,24,0,0.0,1,0.125,,,5,0.625,167.0,175.3275,105.585375,6.435115716575289,,,
F3,2019,M  Fewtrell,FEW,ART Grand Prix,8,,,16.125,6,26,0,0.0,0,0.0,,,3,0.375,163.0,173.296875,106.522625,7.4149944610325145,,,
F3,2019,N  Kari,KAR,Trident,8,,,11.0,1,23,1,0.125,1,0.125,,,4,0.5,149.0,175.237625,102.92557142857143,7.010196655077313,,,
F3,2019,P  Piquet,PIQ,Trident,8,,,12.75,3,29,0,0.0,2,0.25,,,4,0.5,162.0,174.71525,106.093375,9.315885051121782,,,
F3,2019,R  Hyman,HYM,Sauber Junior Team by Charouz,8,,,20.125,8,28,0,0.0,0,0.0,,,1,0.125,142.0,176.4855714285714,107.97057142857143,6.220645350076515,,,
F3,2019,R  Shwartzman,SHW,Prema Racing,8,,,7.25,2,12,0,0.0,1,0.125,,,7,0.875,162.0,175.2225,105.754125,2.8660575211055543,,,
F3,2019,R  Verschoor,VER,MP Motorsport,8,,,16.125,5,25,0,0.0,0,0.0,,,2,0.25,167.0,174.4705,106.3145,6.599512969043354,,,
