series,season,driver_name,driver_code,team_name,n_races,avg_finish,best_finish,worst_finish,finish_std,wins,win_rate,podiums,podium_rate,top10_finishes,top10_rate,dnf_count,dnf_rate,dns_count,dns_rate,dsq_count,dsq_rate,total_laps,avg_kph,avg_lap_time_s,avg_time_from_winner_s,avg_best_lap_from_best_s,driver_speed_mean,team_speed_mean,team_avg_pos_season_mean,driver_vs_team_mean,driver_vs_team_best,driver_vs_team_std,lap_vs_race_avg_mean,lap_vs_race_avg_std
F3,2019,A  Deledda,DEL,Campos Racing,8,23.5,20.0,26.0,1.927248223318863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,167.0,171.55575,114.615625,60.224625,1.9653749999999999,114.616,113.7624530483527,20.278,0.8533750000000005,-25.493,18.004837579602242,1.1748750000000001,1.4170301375462293
F3,2019,A  Estner,EST,Jenzer Motorsport,8,18.625,11.0,24.0,4.274091382136927,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,167.0,173.449625,113.39025000000001,34.94175,1.46325,113.39,112.72754608216276,15.15,0.6626250000000002,-24.831,17.95017753941249,-0.050624999999999996,0.529356195904853
F3,2019,A  Peroni,PER,Campos Racing,6,17.25,14.0,24.0,4.573474244670748,0,0.0,0,0.0,0,0.0,2,0.3333333333333333,0,0.0,0,0.0,109.0,171.646,112.25966666666666,36.26825,1.2101666666666666,112.26,113.7624530483527,20.278,-1.502833333333334,-28.2,21.462528811085303,-0.19633333333333325,1.5282727069036686
F3,2019,A  Petrov,PET,Jenzer Motorsport,1,,,,,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0.0,,,,,,112.72754608216276,15.15,,,,,
F3,2019,B  Viscaal,VIS,HWA RACELAB,8,17.285714285714285,10.0,27.0,5.648430038936652,0,0.0,0,0.0,1,0.125,1,0.125,0,0.0,0,0.0,152.0,174.575125,112.783125,17.509999999999998,1.38975,112.783,114.208835491008,14.5,-1.4257500000000003,-30.168,18.69353775086078,-0.65775,1.4268546577299719
F3,2019,C  Lundgaard,LUN,ART Grand Prix,8,8.75,4.0,17.0,4.862392121462145,0,0.0,0,0.0,6,0.75,0,0.0,0,0.0,0,0.0,167.0,174.688375,112.57237500000001,17.9615,0.774,112.573,113.25568456134658,11.905,-0.6831250000000006,-25.611,17.80616814828502,-0.868375,0.6777078885057021
F3,2019,D  Beckmann,BEC,ART Grand Prix,7,13.666666666666666,6.0,28.0,8.406346808612327,0,0.0,0,0.0,3,0.42857142857142855,1,0.14285714285714285,0,0.0,0,0.0,128.0,171.69085714285714,113.54242857142857,23.477333333333334,1.3655714285714284,113.542,113.25568456134658,11.905,0.2867142857142854,-25.853,19.583808845696026,0.8581428571428571,2.838497397601498
F3,2019,D  DeFrancesco,DEF,Trident,8,15.142857142857142,9.0,21.0,4.59813626840888,0,0.0,0,0.0,1,0.125,1,0.125,0,0.0,0,0.0,159.0,170.71875,116.448375,29.207142857142856,1.387,116.448,113.57823657516536,12.579,2.8698750000000004,-26.228,26.38745448361778,3.00725,9.174764033555773
F3,2019,D  Schumacher,SCH,Campos Racing,1,20.0,20.0,20.0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20.0,175.87,119.503,54.463,1.891,119.503,113.7624530483527,20.278,5.74,5.74,,0.764,
F3,2019,F  Drugovich,DRU,Carlin Buzz Racing,8,11.428571428571429,9.0,15.0,2.2990681342044406,0,0.0,0,0.0,4,0.5,1,0.125,0,0.0,0,0.0,159.0,173.88825,113.088,20.041857142857143,1.2309999999999999,113.088,114.91332223624627,13.9,-1.8251250000000003,-27.32,17.55090655727341,-0.35275,1.1699499073525694
