series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s,first_f1_year,f1_entry
F2,2017,A  Albon,ALB,ART Grand Prix,10,67.0,6.7,7.7,2,18,0,0.0,2,0.2,9.0,0.9,9,0.9,245.0,177.76600000000002,4.498147766951785,6.4299645756757045,0.0,0.0,97.6208,2005.0,False
F2,2017,R  Binder,BIN,Rapax,1,0.0,0.0,17.0,17,17,0,0.0,0,0.0,0.0,0.0,0,0.0,28.0,169.58,,,0.0,0.0,89.032,,False
F2,2017,R  Boschung,BOS,Campos Racing,10,2.0,0.2,16.2,9,19,0,0.0,0,0.0,1.0,0.1,1,0.1,195.0,174.4635,3.457680661303984,0.6324555320336759,5.0,0.5,98.3791,,False
F2,2017,S  Canamasas,CAN,Trident,7,14.0,2.0,12.428571428571429,4,19,0,0.0,0,0.0,2.0,0.2857142857142857,2,0.2857142857142857,170.0,172.14714285714285,5.223572942509207,4.47213595499958,1.0,0.1428571428571428,96.40385714285716,,False
F2,2017,J  Cecotto,CEC,Rapax,4,21.0,5.25,9.0,2,15,0,0.0,1,0.25,3.0,0.75,3,0.75,100.0,166.8905,5.354126134736337,8.539125638299666,0.0,0.0,100.32425,,False
F2,2017,S  Coletti,COL,Campos Racing,1,0.0,0.0,15.0,15,15,0,0.0,0,0.0,0.0,0.0,0,0.0,23.0,170.898,,,0.0,0.0,107.837,2024.0,True
F2,2017,L  Delétraz,DEL,Racing Engineering,11,12.0,1.0909090909090908,13.090909090909092,4,19,0,0.0,0,0.0,1.0,0.0909090909090909,1,0.0909090909090909,262.0,177.4280909090909,3.832872172524031,3.618136134933164,1.0,0.0909090909090909,99.8799090909091,,False
F2,2017,N  de Vries,DEV,Rapax,11,82.0,7.454545454545454,9.090909090909092,1,19,1,0.0909090909090909,3,0.2727272727272727,7.0,0.6363636363636364,7,0.6363636363636364,225.0,178.6483,6.549115138009798,8.548258727526166,3.0,0.2727272727272727,99.5813,2022.0,True
F2,2017,S  Ferrucci,FER,Trident,5,1.0,0.2,13.2,10,15,0,0.0,0,0.0,1.0,0.2,1,0.2,117.0,182.0634,1.9235384061671343,0.447213595499958,0.0,0.0,102.5616,,False
F2,2017,A  Fuoco,FUO,PREMA Racing,11,43.0,3.909090909090909,10.272727272727272,3,20,0,0.0,1,0.0909090909090909,6.0,0.5454545454545454,6,0.5454545454545454,239.0,178.2907,5.197901674539623,5.430553295098861,1.0,0.0909090909090909,99.4134,,False
F2,2017,S  Gelael,GEL,Pertamina Arden,11,9.0,0.8181818181818182,13.272727272727272,6,17,0,0.0,0,0.0,2.0,0.1818181818181818,2,0.1818181818181818,266.0,177.2051818181818,3.5522080201167583,2.400757456228422,0.0,0.0,99.40663636363637,,False
F2,2017,L  Ghiotto,GHI,RUSSIAN TIME,11,136.0,12.363636363636363,4.363636363636363,1,8,1,0.0909090909090909,4,0.3636363636363636,11.0,1.0,11,1.0,266.0,178.85781818181815,2.419616799112094,6.454033270331464,0.0,0.0,98.97836363636362,,False
F2,2017,C  Ilott,ILO,Trident,1,0.0,0.0,14.0,14,14,0,0.0,0,0.0,0.0,0.0,0,0.0,21.0,197.572,,,0.0,0.0,104.972,,False
F2,2017,N  Jeffri,JEF,Trident,11,0.0,0.0,15.545454545454543,11,18,0,0.0,0,0.0,0.0,0.0,0,0.0,266.0,176.06654545454546,2.3393860888547815,0.0,0.0,0.0,100.15109090909093,,False
F2,2017,J  King,KIN,MP Motorsport,11,44.0,4.0,12.090909090909092,4,20,0,0.0,0,0.0,5.0,0.4545454545454545,5,0.4545454545454545,210.0,173.5629090909091,6.891364820622188,4.979959839195494,4.0,0.3636363636363636,98.4259,,False
